id,name,code,period,department,employee,last_update,ehd_update,filename
277978,13510000300160200001 Темп роста количества социально ориентированных некоммерческих организаций с 2017 г.,13510000300160200001,2017 - 2020,Управление статистики цен и финансов,Савинова Е.В.,2021-10-13T03:21:24+00:00,2021-08-14T05:16:44+00:00,13510000300160200001_Темп_роста_количества_социально_ориентированных_некоммерческих_организаций_с_20.csv
278396,13510000300160200002 Темп роста количества социально ориентированных некоммерческих организаций за 2016 г.,13510000300160200002,2016 - 2016,Управление статистики цен и финансов,Савинова Е.В.,2019-10-18T06:59:10+00:00,2019-10-11T15:03:50+00:00,"2016_г_,_13510000300160200002_Темп_роста_количества_социально_ориентированных_некоммерческих_организ.csv"
277366,"13510000300170200001 Количество хозяйствующих субъектов, относящихся к государственной собственности, по отношению к предыдущему периоду, по данным государственной с 2017 г.",13510000300170200001,2017 - 2022,Управление координации и развития статистического учета,Комиссарова Н.А.,2022-03-21T14:13:21+00:00,2022-03-18T07:07:31+00:00,"13510000300170200001_Количество_хозяйствующих_субъектов,_относящихся_к_государственной_собственности.csv"
277368,"13510000300170200002 Количество акционерных обществ, акции которых находятся в федеральной собственности, по отношению к предыдущему периоду, по данным государственной регистрации с 2017 г.",13510000300170200002,2017 - 2022,Управление координации и развития статистического учета,Комиссарова Н.А.,2022-03-21T14:13:21+00:00,2022-03-17T05:59:29+00:00,"13510000300170200002_Количество_акционерных_обществ,_акции_которых_находятся_в_федеральной_собственн.csv"
277370,"13510000300170200003 Количество унитарных предприятий, находящихся в федеральной собственности, по отношению к предыдущему периоду, по данным государственной регистрации с 2017 г.",13510000300170200003,2017 - 2022,Управление координации и развития статистического учета,Комиссарова Н.А.,2022-03-21T14:13:21+00:00,2022-03-18T07:07:31+00:00,"13510000300170200003_Количество_унитарных_предприятий,_находящихся_в_федеральной_собственности,_по_о.csv"
277372,"13510000300170200004 Количество федеральных государственных учреждений по отношению к предыдущему году, по данным государственной регистрации с 2017 г.",13510000300170200004,2017 - 2022,Управление координации и развития статистического учета,Комиссарова Н.А.,2022-03-21T14:13:21+00:00,2022-03-17T05:40:37+00:00,13510000300170200004_Количество_федеральных_государственных_учреждений_по_отношению_к_предыдущему_го.csv
275706,"13510000300210200001 Доля негосударственных организаций в общем количестве организаций, оказывающих услуги в предоставлении социальных услуг без обеспечения проживания",13510000300210200001,2019 - 2021,Управление координации и развития статистического учета,Ерцева Н.Н.,2021-04-30T16:13:30+00:00,2021-04-29T22:27:40+00:00,"13510000300210200001_Доля_негосударственных_организаций_в_общем_количестве_организаций,_оказывающих_.csv"
275708,"13510000300220200001 Доля негосударственных организаций в общем количестве организаций, оказывающих услуги в деятельности по медицинскому уходу с обеспечением проживания",13510000300220200001,2019 - 2021,Управление координации и развития статистического учета,Ерцева Н.Н.,2021-04-30T16:13:30+00:00,2021-04-29T22:23:07+00:00,"13510000300220200001_Доля_негосударственных_организаций_в_общем_количестве_организаций,_оказывающих_.csv"
275710,"13510000300230200001 Доля негосударственных организаций в общем количестве организаций, оказывающих услуги по образованию дошкольному.",13510000300230200001,2019 - 2021,Управление координации и развития статистического учета,Ерцева Н.Н.,2021-04-30T16:13:30+00:00,2021-04-29T22:27:40+00:00,"13510000300230200001_Доля_негосударственных_организаций_в_общем_количестве_организаций,_оказывающих_.csv"
275712,"13510000300240200001 Доля негосударственных организаций в общем количестве организаций, оказывающих услуги по образованию дополнительному для детей и взрослых.",13510000300240200001,2019 - 2021,Управление координации и развития статистического учета,Ерцева Н.Н.,2021-04-30T16:13:30+00:00,2021-04-29T22:27:40+00:00,"13510000300240200001_Доля_негосударственных_организаций_в_общем_количестве_организаций,_оказывающих_.csv"
275714,"13510000300250200001 Доля негосударственных организаций,  в общем количестве организаций, оказывающих услуги в деятельности в области здравоохранения",13510000300250200001,2019 - 2021,Управление координации и развития статистического учета,Ерцева Н.Н.,2021-04-30T16:13:30+00:00,2021-04-29T22:23:07+00:00,"13510000300250200001_Доля_негосударственных_организаций,__в_общем_количестве_организаций,_оказывающи.csv"
275752,"13510000300260200001 Доля негосударственных организаций в общем количестве организаций, оказывающих услуги деятельности учреждений культуры и искусства.",13510000300260200001,2019 - 2021,Управление координации и развития статистического учета,Ерцева Н.Н.,2021-04-30T16:13:30+00:00,2021-04-29T22:23:07+00:00,"13510000300260200001_Доля_негосударственных_организаций_в_общем_количестве_организаций,_оказывающих_.csv"
275750,"13510000300270200001 Доля негосударственных организаций в общем количестве организаций, оказывающих услуги в деятельности в области спорта.",13510000300270200001,2019 - 2021,Управление координации и развития статистического учета,Ерцева Н.Н.,2021-04-30T16:13:30+00:00,2021-04-29T22:28:38+00:00,"13510000300270200001_Доля_негосударственных_организаций_в_общем_количестве_организаций,_оказывающих_.csv"
273322,"13530000100060200001 Общая площадь жилых помещений в многоквартирных жилых домах, в которые поставляется тепловая энергия",13530000100060200001,2015 - 2018,,,2021-01-28T14:49:46+00:00,2019-10-20T13:35:51+00:00,"13530000100060200001_Общая_площадь_жилых_помещений_в_многоквартирных_жилых_домах,_в_которые_поставля.csv"
279198,13551100100040200001 Количество выпущенных акций публичных акционерных обществ (по 2015 г.),13551100100040200001,1993 - 2015,Управление статистики цен и финансов,Галюзова М.Ю.,2018-11-29T08:34:01+00:00,2018-06-16T06:12:58+00:00,13551100100040200001_Количество_выпущенных_акций_публичных_акционерных_обществ_(по_2015_г_).csv
277812,"13551100100060200001 Число публичных ационерных обществ, созданных в результате преобразования государственных и муниципальных унитарных предприятий (по 2015 г.)",13551100100060200001,1993 - 2015,Управление статистики цен и финансов,Галюзова М.Ю.,2018-11-28T04:21:58+00:00,2018-06-16T06:12:58+00:00,"13551100100060200001_Число_публичных_ационерных_обществ,_созданных_в_результате_преобразования_госуд.csv"
