Год;Квартал;Федеральный округ;Регион;Размер недоимки, млн. руб.;
2016;4;Уральский Федеральный округ;Курганская область;183,4;
2016;4;Уральский Федеральный округ;Свердловская область;179,6;
2016;4;Уральский Федеральный округ;Тюменская область;48,03;
2016;4;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;119,97;
2016;4;Уральский Федеральный округ;Челябинская область;77,45;
2016;4;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;155,86;
2016;4;Центральный Федеральный округ;Белгородская область;42,65;
2016;4;Центральный Федеральный округ;Брянская область;43,41;
2016;4;Центральный Федеральный округ;Владимирская область;30,91;
2016;4;Центральный Федеральный округ;Воронежская область;27,48;
2016;4;Центральный Федеральный округ;Ивановская область;35,55;
2016;4;Центральный Федеральный округ;Калужская область;52,55;
2016;4;Центральный Федеральный округ;Костромская область;20,61;
2016;4;Центральный Федеральный округ;Курская область;13,04;
2016;4;Центральный Федеральный округ;Липецкая область;25,08;
2016;4;Центральный Федеральный округ;Москва;1710,96;
2016;4;Центральный Федеральный округ;Московская область;476,85;
2016;4;Центральный Федеральный округ;Орловская область;13,85;
2016;4;Центральный Федеральный округ;Рязанская область;25,09;
2016;4;Центральный Федеральный округ;Смоленская область;15,79;
2016;4;Центральный Федеральный округ;Тамбовская область;51,16;
2016;4;Центральный Федеральный округ;Тверская область;56,56;
2016;4;Центральный Федеральный округ;Тульская область;26,78;
2016;4;Центральный Федеральный округ;Ярославская область;57,25;
2016;4;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2016;4;Южный Федеральный округ;Астраханская область;74,35;
2016;4;Южный Федеральный округ;Волгоградская область;63,96;
2016;4;Южный Федеральный округ;Краснодарский край;166,39;
2016;4;Южный Федеральный округ;Республика Адыгея;7,8;
2016;4;Южный Федеральный округ;Республика Калмыкия;5,54;
2016;4;Южный Федеральный округ;Республика Крым;28,87;
2016;4;Южный Федеральный округ;Ростовская область;232,29;
2016;4;Южный Федеральный округ;Севастополь;5,36;
2017;1;Дальневосточный Федеральный округ;Амурская область;0,0;
2017;1;Дальневосточный Федеральный округ;Еврейская автономная область;0,0;
2017;1;Дальневосточный Федеральный округ;Камчатский край;0,0;
2017;1;Дальневосточный Федеральный округ;Магаданская область;0,0;
2017;1;Дальневосточный Федеральный округ;Приморский край;0,0;
2017;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);0,0;
2017;1;Дальневосточный Федеральный округ;Сахалинская область;0,0;
2017;1;Дальневосточный Федеральный округ;Хабаровский край;0,0;
2017;1;Дальневосточный Федеральный округ;Чукотский автономный округ;0,0;
2017;1;Приволжский Федеральный округ;Кировская область;0,0;
2017;1;Приволжский Федеральный округ;Нижегородская область;0,0;
2017;1;Приволжский Федеральный округ;Оренбургская область;0,0;
2017;1;Приволжский Федеральный округ;Пензенская область;0,0;
2017;1;Приволжский Федеральный округ;Пермский край;0,0;
2017;1;Приволжский Федеральный округ;Республика Башкортостан;0,0;
2017;1;Приволжский Федеральный округ;Республика Марий Эл;0,0;
2017;1;Приволжский Федеральный округ;Республика Мордовия;0,0;
2017;1;Приволжский Федеральный округ;Республика Татарстан;0,0;
2017;1;Приволжский Федеральный округ;Самарская область;0,0;
